datetime;uc01;uc02;uc03;uc04
05.01.2019 2:00:00;2956,269331794;2634,403788284;2456,862630461;2339,441019397
05.01.2019 3:00:00;2637,719044984;2424,862390149;2274,104989447;2253,364609956
05.01.2019 4:00:00;2444,663190487;2304,149064475;2236,324957836;2239,504759515
05.01.2019 5:00:00;2457,721633790;2318,245444573;2193,024020457;2372,211174263
05.01.2019 6:00:00;2691,597653183;2479,889208286;2174,771819854;2470,617404123
05.01.2019 7:00:00;2803,393833854;2556,974484391;2258,390341700;2557,617893284
05.01.2019 8:00:00;3013,739882818;2708,522004053;2293,577856357;2716,332714673
05.01.2019 9:00:00;3348,072898592;2920,623426534;2374,416540602;2982,561025949
05.01.2019 10:00:00;3632,973999598;3125,743241354;2534,399403233;2987,044737776
05.01.2019 11:00:00;3950,967891479;3379,307433540;2746,851236047;3302,785703106
05.01.2019 12:00:00;4315,261483404;3609,081402020;2644,740668604;3320,814224746
05.01.2019 13:00:00;4478,380130762;3738,825467069;2713,404491454;3526,583181104
05.01.2019 14:00:00;4699,989144773;3923,533334904;2685,968494736;3729,391909423
05.01.2019 15:00:00;4812,477247962;3935,450942493;2809,602911929;3524,845066658
05.01.2019 16:00:00;4997,557628388;4008,889679165;3052,499670895;3655,623920431
05.01.2019 17:00:00;5241,999470574;4173,558303945;3309,636965077;3821,932240704
05.01.2019 18:00:00;5282,456963436;4364,610449180;2938,752225090;3673,994326128
05.01.2019 19:00:00;5213,410968042;4283,956019707;3004,200367179;3643,323030703
05.01.2019 20:00:00;4828,155657250;3936,458708844;3247,557310130;3263,771156806
05.01.2019 21:00:00;4431,827001081;3732,511716246;2976,633512353;3375,163850094
05.01.2019 22:00:00;4263,059509025;3578,257810964;2769,034145471;3119,423053280
05.01.2019 23:00:00;4066,301702297;3378,439800670;2843,471489243;2831,457535697
06.01.2019 0:00:00;3981,468075992;3353,528438517;2738,512786898;2995,031850353
06.01.2019 1:00:00;3712,464720024;3193,226990508;2585,054369311;2791,609541485
06.01.2019 2:00:00;3342,099450859;2889,738341140;2709,230208158;2548,567186004
